=	v-w1f1	=-001
odepisovat	v-w2685f1	odepisovat-003
odepisovat	v-w2685f2	odepisovat-001
odepisovat	v-w2685f3	odepisovat-002
odepsat	v-w2688f1	odepsat-002
odepsat	v-w2688f2	odepsat-003
odepsat	v-w2688f3_ZU	odepsat-001
odepírat	v-w10163f2	odepírat-001
odepřít	v-w2686f1	odepřít-001
odeslat	v-w2691f1	odeslat-002
odeslat	v-w2691f2	odeslat-001
odesílat	v-whsa_766hsa_767	odesílat-001
odevzdat	v-w2694f1	odevzdat-001
odevzdat	v-w2694f2	odevzdat-002
odevzdat	v-w2694f3	odevzdat-003
odevzdávat	v-w2696f1	odevzdávat-001
odevzdávat	v-w2696f2	odevzdávat-003
odevzdávat	v-w2696f3	odevzdávat-002
odeznít	v-w2698f1	odeznít-001
odeznívat	v-whsa_1572hsa_1573	odeznívat-001
odečíst	v-w2675f1	odečíst-001
odečítat	v-w2677f1	odečítat-001
odečítat	v-w2677f2	odečítat-002
odfouknout	v-w11741_ZUf1_ZU	odfouknout-001
odfrknout si	v-w11379f1	odfrknout si-001
odhadnout	v-w2701f1	odhadnout-002
odhadnout	v-w2701f2	odhadnout-001
odhadovat	v-w2702f1	odhadovat-002
odhadovat	v-w2702f2	odhadovat-001
odhalit	v-w2704f1	odhalit-001
odhalit	v-w2704f2	odhalit-002
odhalovat	v-w2706f1	odhalovat-001
odhalovat	v-w2706f2	odhalovat-002
odhazovat	v-w10497f2	odhazovat-001
odhlasovat	v-w2709f1	odhlasovat-001
odhlásit	v-w2708f1	odhlásit-001
odhlédnout	v-w2712f1	odhlédnout-001
odhlížet	v-w10317f2	odhlížet-001
odhodit	v-w2713f1	odhodit-001
odhodit	v-w2713f2	odhodit-002
odhodlat se	v-w2716f1	odhodlat se-001
odhodlávat se	v-w2717f1	odhodlávat se-001
odhrabat	v-w11930_ZUf2_ZU	odhrabat-001
odhrabat	v-w11930_ZUf1_ZU	odhrabat-001	substituted with v-w11930_ZUf2_ZU
odhrnovat	v-whsa_165hsa_166	odhrnovat-001
odhánět	v-w2707f1	odhánět-001
odházet	v-w11040f2	odházet-001
odjet	v-w2728f1	odjet-001
odjet	v-w2728hsa_2034	odjet-002
odjistit	v-w2730f1	odjistit-001
odjíždět	v-w2731f1	odjíždět-001
odkapávat	v-w2732f1	odkapávat-001
odkazovat	v-w2736f1	odkazovat-002
odkazovat	v-w2736f2	odkazovat-003
odkazovat	v-w2736f3	odkazovat-001
odkazovat	v-w2736hsa_700	odkazovat-004
odkašlat si	v-w11463f1	odkašlat si-001
odklidit	v-w2741f1	odklidit-001
odklidit	v-w2741f2	odklidit-002
odklizovat	v-w12298_MMf1_MM	odklizovat-001
odklonit	v-w11377f1	odklonit-001
odklonit	v-w11377f3	odklonit-002
odklonit	v-w11377f4	odklonit-003
odklonit se	v-w2744f1	odklonit se-001
odklonit se	v-w2744f2_ZU	odklonit se-002
odklusat	v-w12165_ZUf1_ZU	odklusat-001
odkládat	v-w2739f1	odkládat-001
odkládat	v-w2739f2	odkládat-002
odkládat	v-w2739f5_ZU	odkládat-005	obsolete
odkládat	v-w2739f3_ZU	odkládat-005	substituted with v-w2739f5_ZU
odkládat	v-w2739f4_ZU	odkládat-005	substituted with v-w2739f5_ZU
odkládat	v-w2739f6_ZU	odkládat-003
odkládat	v-w2739hsa_457	odkládat-004
odklánět	v-w10921f2	odklánět-001
odklánět se	v-w11532_ZUf1_ZU	odklánět se-001
odklízet	v-whsa_1263hsa_1264	odklízet-001
odkopnout	v-w10439f3	odkopnout-001
odkopávat	v-w2746f1	odkopávat-001
odkoupit	v-w2749f1	odkoupit-001
odkroutit	v-w11215f2	odkroutit-001
odkroutit si	v-w11499f2	odkroutit si-001
odkráglovat	v-w10062f2	odkráglovat-001
odkrýt	v-w2750f1	odkrýt-001
odkrývat	v-w2751f1	odkrývat-001
odkupovat	v-w11533_ZUf1_ZU	odkupovat-001
odkvétat	v-w11754_ZUf1_ZU	odkvétat-001
odkázat	v-w2735f1	odkázat-002
odkázat	v-w2735f2	odkázat-001
odkázat	v-w2735f3	odkázat-003
odkývat	v-w11790_ZUf1_ZU	odkývat-001
odlehčit	v-w2755f1	odlehčit-001
odlehčit	v-w2755hsa_1408	odlehčit-002
odlepit se	v-w2756f1	odlepit se-001
odlepkovávat	v-whsa_958hsa_959	odlepkovávat-001
odletět	v-w2759f1	odletět-001
odležet se	v-w12393_MMf1_MM	odležet se-001
odlišit	v-w2761f1	odlišit-001
odlišit se	v-w11534_ZUf1_ZU	odlišit se-001
odlišovat	v-w2764f1	odlišovat-001
odlišovat se	v-w2765f1	odlišovat se-001
odloučit	v-w2769f2	odloučit-001
odloučit	v-w2769f1	odloučit-001	substituted with v-w2769f2
odložit	v-w2771f1	odložit-001
odložit	v-w2771f2	odložit-002
odložit	v-w2771f6_ZU	odložit-003
odložit	v-w2771f3_ZU	odložit-003	substituted with v-w2771f6_ZU
odložit	v-w2771f4_ZU	odložit-003	substituted with v-w2771f6_ZU
odložit	v-w2771f5_ZU	odložit-003	substituted with v-w2771f6_ZU
odlupovat	v-w2774f1	odlupovat-001
odlákat	v-w2753f1	odlákat-001
odlákávat	v-w10141f2	odlákávat-001
odlétat	v-w2758f1	odlétat-001
odlít	v-w10151f2	odlít-001
odlít	v-w10151hsa_2025	odlít-002
odmalovat	v-whsa_1798hsa_1799	odmalovat-001
odmaturovat	v-w10103f2	odmaturovat-001
odmlouvat	v-w11897_ZUf1_ZU	odmlouvat-001
odmlčet se	v-w2788f2_ZU	odmlčet se-001
odmlčet se	v-w2788f1	odmlčet se-001	substituted with v-w2788f2_ZU
odmontovat	v-w2789f1	odmontovat-001
odmrštit	v-w2790f1	odmrštit-001
odmyslit si	v-w2791f1	odmyslit si-001
odmávat	v-w2775f1	odmávat-001
odmávnout	v-w12228_ZUf1_ZU	odmávnout-001
odmáčet	v-whsa_588hsa_589	odmáčet-001
odmítat	v-w2784f1	odmítat-003
odmítat	v-w2784f2	odmítat-002
odmítat	v-w2784f3	odmítat-001
odmítat	v-w2784hsa_1030	odmítat-004
odmítnout	v-w2785f1	odmítnout-003
odmítnout	v-w2785f2	odmítnout-002
odmítnout	v-w2785f3	odmítnout-001
odmítnout	v-w2785hsa_1036	odmítnout-004
odměnit	v-w2777f1	odměnit-001
odměnit se	v-w2778f1	odměnit se-001
odměňovat	v-w2780f1	odměňovat-001
odměňovat se	v-whsa_952hsa_953	odměňovat se-001
odměřovat	v-w2781f1	odměřovat-001
odnaučit	v-w2793f1	odnaučit-001
odnaučit se	v-w2794f1	odnaučit se-001
odnárodnit	v-w10585f2	odnárodnit-001
odnášet	v-w2792f1	odnášet-002
odnášet	v-w2792f2	odnášet-003
odnášet	v-w2792f3	odnášet-001
odnášet	v-w2792f4_ZU	odnášet-004
odnést	v-w2796f1	odnést-002
odnést	v-w2796f2	odnést-004
odnést	v-w2796f3	odnést-005
odnést	v-w2796f4	odnést-001
odnést	v-w2796f5	odnést-003
odnést si	v-w2797f1	odnést si-001
odolat	v-w2799f2_ZU	odolat-001
odolat	v-w2799f1	odolat-001	substituted with v-w2799f2_ZU
odolávat	v-w2800f1	odolávat-001
odoperovat	v-w12261_ZUf1_ZU	odoperovat-001
odorat	v-whsa_85hsa_86	odorat-001
odpadat	v-w2804f1	odpadat-001
odpadnout	v-w2805f1	odpadnout-001
odpadnout	v-w2805f2	odpadnout-002
odpadávat	v-w12236_ZUf1_ZU	odpadávat-001
odpalovat	v-w11059f2	odpalovat-001
odplavit	v-w2813f1	odplavit-001
odplevelit	v-whsa_589hsa_590	odplevelit-001
odplout	v-w2815f1	odplout-001
odplouvat	v-w2816f1	odplouvat-001
odplynout	v-w11222f2	odplynout-001
odplížit se	v-w2814f1	odplížit se-001
odpochodovat	v-w2821f1	odpochodovat-002
odpochodovat	v-w2821f2	odpochodovat-001
odpojit	v-w10428f2	odpojit-001
odpojit	v-w10428hsa_220	odpojit-002
odpolitizovat	v-w2823f1	odpolitizovat-001
odpomoci	v-w2824f1	odpomoci-001
odporovat	v-w2826f1	odporovat-001
odporovat	v-w2826f2_ZU	odporovat-002
odposlechnout	v-w10898f2	odposlechnout-001
odposlouchat	v-w12177_ZUf1_ZU	odposlouchat-001
odposlouchávat	v-w10534f2	odposlouchávat-001
odpoutat	v-w2830f1	odpoutat-001
odpoutat	v-w2830f2	odpoutat-002
odpoutat se	v-w11291f1	odpoutat se-001
odpoutávat	v-w2832f1	odpoutávat-001
odpoutávat	v-w2832f2	odpoutávat-002
odpouštět	v-w2829f1	odpouštět-001
odpouštět	v-w2829f2	odpouštět-002
odpouštět si	v-w12055_ZUf1_ZU	odpouštět si-001
odpovídat	v-w2839f1	odpovídat-002
odpovídat	v-w2839f2	odpovídat-005
odpovídat	v-w2839f3	odpovídat-001
odpovídat	v-w2839f4	odpovídat-003
odpovídat	v-w2839f5	odpovídat-004
odpovídat	v-w2839f6_MM	odpovídat-006
odpovídat se	v-w2840f1	odpovídat se-001
odpovědět	v-w2834f1	odpovědět-003
odpovědět	v-w2834f2	odpovědět-001
odpovědět	v-w2834f3	odpovědět-002
odpovědět	v-w2834f6_MM	odpovědět-004
odpovědět	v-w2834f4_ZU	odpovědět-004	substituted with v-w2834f6_MM
odpovědět	v-w2834f5_ZU	odpovědět-004	substituted with v-w2834f6_MM
odpočinout si	v-w2818f1	odpočinout si-001
odpočnout si	v-w11781_ZUf1_ZU	odpočnout si-001
odpočíst	v-w2819f1	odpočíst-002
odpočíst	v-w2819f2	odpočíst-001
odpočítávat	v-w10200f2	odpočítávat-001
odpočítávat	v-w10200f3	odpočítávat-002
odpočívat	v-w2820f1	odpočívat-001
odpracovat	v-w2841f1	odpracovat-001
odpracovávat	v-w12271_ZUf1_ZU	odpracovávat-001
odpravit	v-w11535_ZUf2_ZU	odpravit-001
odpravit	v-w11535_ZUf1_ZU	odpravit-001	substituted with v-w11535_ZUf2_ZU
odprodat	v-w2842f1	odprodat-001
odprodávat	v-w2843f1	odprodávat-001
odpromovat	v-whsa_637hsa_638	odpromovat-001
odprásknout se	v-w12357_MMf1_MM	odprásknout se-001
odpudit	v-w10303f3	odpudit-001
odpustit	v-w2846f1	odpustit-001
odpustit	v-w2846f2	odpustit-002
odpustit si	v-whsa_1804hsa_1805	odpustit si-001
odpuzovat	v-w2848f1	odpuzovat-001
odpykat si	v-w2849f1	odpykat si-001
odpykávat si	v-w2850f1	odpykávat si-001
odpálit	v-w2807f1	odpálit-001
odpálit	v-w2807f2	odpálit-002
odpálit	v-w2807hsa_783	odpálit-003
odpálkovat	v-whsa_272hsa_273	odpálkovat-001
odpárat	v-w11939_ZUf1_ZU	odpárat-001
odpíchnout	v-w12213_ZUf1_ZU	odpíchnout-001
odpírat	v-w2809f1	odpírat-001
odpískat	v-w2811f1	odpískat-001
odpřisáhnout	v-w11801_ZUf1_ZU	odpřisáhnout-001
odradit	v-w2851f1	odradit-001
odrazit	v-w2853f1	odrazit-001
odrazit	v-w2853f2_ZU	odrazit-003
odrazit	v-w2853hsa_1038	odrazit-002
odrazit se	v-w2854f1	odrazit se-001
odrazit se	v-w2854f2	odrazit se-003
odrazit se	v-w2854f3	odrazit se-002
odrazit se	v-w2854hsa_461	odrazit se-004
odrazovat	v-w2856f1	odrazovat-001
odreagovat se	v-w2861f2_MM	odreagovat se-001
odreagovat se	v-w2861f1	odreagovat se-001	substituted with v-w2861f2_MM
odreagovávat	v-w12352_MMf1_MM	odreagovávat-001
odrodit	v-w12354_MMf1_MM	odrodit-001
odrovnat	v-w10873f2	odrovnat-001
odročit	v-w2862f1	odročit-001
odrážet	v-w2858f1	odrážet-001
odrážet	v-w2858f2_ZU	odrážet-002
odrážet se	v-w2859f1	odrážet se-001
odrážet se	v-w2859f2	odrážet se-002
odrážet se	v-w2859f3	odrážet se-003
odrážet se	v-w2859hsa_66	odrážet se-004
odrůst	v-w2863f1	odrůst-002
odrůst	v-w2863f2	odrůst-001
odrůstat	v-whsa_8hsa_9	odrůstat-001
odsednout si	v-w2876f1	odsednout si-001
odsedět si	v-w2875f1	odsedět si-001
odsekat	v-w10082f2	odsekat-001
odseknout	v-w2877f1	odseknout-001
odseknout	v-w2877hsa_191	odseknout-002
odskakovat	v-whsa_426hsa_427	odskakovat-001
odskakovat si	v-w2881f1	odskakovat si-001
odskočit	v-w2882f1	odskočit-001
odskočit si	v-w2883f1	odskočit si-001
odskákat	v-w2880f1	odskákat-001
odsloužit	v-w2884f1	odsloužit-001
odsloužit si	v-w2885f1	odsloužit si-001
odsoudit	v-w2886f2	odsoudit-002
odsoudit	v-w2886hsa_4	odsoudit-001
odsoudit	v-w2886f1	odsoudit-001	substituted with v-w2886hsa_4
odsoudit	v-w2886f3_ZU	odsoudit-001	substituted with v-w2886hsa_4
odsouhlasit	v-w2887f1	odsouhlasit-001
odsouvat	v-w2888f1	odsouvat-001
odsouvat	v-w2888f2	odsouvat-002
odstartovat	v-w2892f1	odstartovat-001
odstartovat	v-w2892f2	odstartovat-002
odstartovat	v-w2892f3_ZU	odstartovat-003
odstartovat	v-w2892f4_ZU	odstartovat-004
odstartovat	v-w2892hsa_863	odstartovat-004	substituted with v-w2892f4_ZU
odstartovat	v-w2892hsa_864	odstartovat-005
odstaršit	v-w12344_MMf1_MM	odstaršit-001
odstavit	v-w2895f1	odstavit-001
odstavit	v-w2895f2	odstavit-002
odstavit	v-w2895f3	odstavit-003
odstavovat	v-w2897f1	odstavovat-001
odstavovat	v-w2897f2	odstavovat-002
odstoupit	v-w2903f1	odstoupit-003
odstoupit	v-w2903f2	odstoupit-001
odstoupit	v-w2903f3	odstoupit-002
odstranit	v-w2905f1	odstranit-003
odstranit	v-w2905f2	odstranit-001
odstranit	v-w2905f3	odstranit-002
odstraňovat	v-w2907f1	odstraňovat-001
odstraňovat	v-w2907f2	odstraňovat-003
odstraňovat	v-w2907f3	odstraňovat-002
odstrašit	v-w11176f2	odstrašit-001
odstrašovat	v-w2909f1	odstrašovat-001
odstrčit	v-w2910f1	odstrčit-002
odstrčit	v-w2910f2	odstrčit-001
odstupovat	v-w2917f1	odstupovat-002
odstupovat	v-w2917f2	odstupovat-001
odstupňovat	v-w2916f1	odstupňovat-001
odstínit	v-w10633f2	odstínit-001
odstěhovat	v-w2899f1	odstěhovat-001
odstěhovat se	v-w2900f1	odstěhovat se-001
odstřelit	v-w2912f1	odstřelit-001
odstřelit	v-w2912f3_ZU	odstřelit-002
odstřelit	v-w2912f2_ZU	odstřelit-002	substituted with v-w2912f3_ZU
odstřelovat	v-w2913f1	odstřelovat-001
odstřihnout	v-w10050f2	odstřihnout-001
odstřihávat	v-w10216f2	odstřihávat-001
odstříknout	v-whsa_175hsa_176	odstříknout-001
odstříknout	v-whsa_175hsa_177	odstříknout-002
odsunout	v-w2919f1	odsunout-002
odsunout	v-w2919f2	odsunout-003
odsunout	v-w2919f3	odsunout-001
odsunout	v-w2919f5_ZU	odsunout-004
odsunout	v-w2919f4_ZU	odsunout-004	substituted with v-w2919f5_ZU
odsuzovat	v-w2920f1	odsuzovat-001
odsát	v-w2872f1	odsát-001
odsávat	v-w2873f1	odsávat-001
odtahovat se	v-whsa_1251hsa_1252	odtahovat se-001
odtajnit	v-w2927f1	odtajnit-001
odtransportovat	v-w12041_ZUf1_ZU	odtransportovat-001
odtrhnout	v-w10457f3	odtrhnout-002
odtrhnout	v-w10457f4	odtrhnout-001
odtrhnout se	v-w11320f1	odtrhnout se-002
odtrhnout se	v-w11320f2	odtrhnout se-001
odtrhovat	v-w11014f2	odtrhovat-002
odtrhovat	v-w11014f4	odtrhovat-001
odtrhovat si	v-w11443f2	odtrhovat si-001
odtrhávat	v-w11147f3	odtrhávat-001
odtrhávat se	v-w11475f1	odtrhávat se-001
odtáhnout	v-w11661_ZUf3_ZU	odtáhnout-002
odtáhnout	v-w11661_ZUf2_ZU	odtáhnout-002	substituted with v-w11661_ZUf3_ZU
odtáhnout	v-w11661_ZUf4_ZU	odtáhnout-001
odtáhnout	v-w11661_ZUf1_ZU	odtáhnout-001	substituted with v-w11661_ZUf4_ZU
odtáhnout	v-w11661_ZUf6_ZU	odtáhnout-003
odtáhnout	v-w11661_ZUf5_ZU	odtáhnout-003	substituted with v-w11661_ZUf6_ZU
odtáhnout se	v-w11293f1	odtáhnout se-001
odtéci	v-w11536_ZUf2_ZU	odtéci-001
odtéci	v-w11536_ZUf1_ZU	odtéci-001	substituted with v-w11536_ZUf2_ZU
odtékat	v-w2928f1	odtékat-001
odumřít	v-w11537_ZUf2_ZU	odumřít-001
odumřít	v-w11537_ZUf1_ZU	odumřít-001	substituted with v-w11537_ZUf2_ZU
odučit	v-w12341_MMf1_MM	odučit-001
odvalit	v-w2939f1	odvalit-001
odvanout	v-w2940f1	odvanout-001
odvažovat se	v-w2945f1	odvažovat se-001
odvděčit se	v-w2946f1	odvděčit se-001
odvděčovat se	v-w2947f1	odvděčovat se-001
odvelet	v-w2948f1	odvelet-001
odvinit	v-w2956f1	odvinit-001
odvinout se	v-w2957f1	odvinout se-001
odvlíknout	v-whsa_885hsa_886	odvlíknout-001
odvodit	v-w2959f1	odvodit-001
odvodit	v-w2959f2	odvodit-002
odvolat	v-w2961f1	odvolat-001
odvolat	v-w2961f2	odvolat-003
odvolat	v-w2961f3	odvolat-002
odvolat se	v-w2962f1	odvolat se-002
odvolat se	v-w2962f2	odvolat se-001
odvolávat	v-w2964f1	odvolávat-001
odvolávat	v-w2964f2	odvolávat-002
odvolávat	v-w2964f3	odvolávat-003
odvolávat se	v-w2965f1	odvolávat se-001
odvolávat se	v-w2965f2	odvolávat se-002
odvozovat	v-w2969f1	odvozovat-001
odvracet	v-w2972f1	odvracet-001
odvracet	v-w2972hsa_865	odvracet-002
odvracet se	v-w2973f1	odvracet se-001
odvrhnout	v-w10418f2	odvrhnout-001
odvrátit	v-w2974f1	odvrátit-001
odvrátit	v-w2974f2	odvrátit-003
odvrátit	v-w2974f3_ZU	odvrátit-002
odvrátit se	v-w2975f1	odvrátit se-001
odvykat	v-whsa_1267hsa_1268	odvykat-001
odvyknout	v-w2976f1	odvyknout-001
odvyknout si	v-w2977f1	odvyknout si-001
odvysílat	v-w2979f1	odvysílat-001
odvádět	v-w2937f1	odvádět-002
odvádět	v-w2937f2	odvádět-003
odvádět	v-w2937f3	odvádět-006
odvádět	v-w2937f4	odvádět-004
odvádět	v-w2937f5	odvádět-005
odvádět	v-w2937f6	odvádět-007
odvádět	v-w2937f7	odvádět-001
odvát	v-w2941f1	odvát-001
odvázat se	v-whsa_612hsa_613	odvázat se-001
odvážet	v-w2942f1	odvážet-002
odvážet	v-w2942f2	odvážet-001
odvážet	v-w2942f3	odvážet-003
odvážit	v-w2943f1	odvážit-001
odvážit se	v-w2944f1	odvážit se-001
odvážit se	v-w2944f2_ZU	odvážit se-002
odvést	v-w2949f1	odvést-003
odvést	v-w2949f2	odvést-001
odvést	v-w2949f3	odvést-002
odvést	v-w2949f4	odvést-004
odvést	v-w2949hsa_596	odvést-005
odvézt	v-w2953f1	odvézt-002
odvézt	v-w2953f2	odvézt-003
odvézt	v-w2953f3	odvézt-001
odvíjet	v-w2954f1	odvíjet-001
odvíjet se	v-w2955f1	odvíjet se-001
odvíjet se	v-w2955f3_ZU	odvíjet se-002
odvíjet se	v-w2955f2	odvíjet se-002	substituted with v-w2955f3_ZU
odvětit	v-w2951f1	odvětit-001
odzbrojit	v-w2981f1	odzbrojit-001
odzbrojit	v-w2981hsa_608	odzbrojit-002
odzbrojovat	v-w2983f1	odzbrojovat-001
odzvonit	v-w11538_ZUf1_ZU	odzvonit-001
odzvonit	v-w11538_ZUhsa_490	odzvonit-002
odírat	v-w2726f1	odírat-001
odít	v-w2727f1	odít-001
odčarovat	v-w2641f1	odčarovat-001
odčerpat	v-w2642f1	odčerpat-002
odčerpat	v-w2642f2	odčerpat-001
odčerpat	v-w2642f3	odčerpat-003
odčerpávat	v-w2645f1	odčerpávat-001
odčerpávat	v-w2645f2	odčerpávat-002
odčinit	v-w2647f1	odčinit-001
odčítat	v-whsa_758hsa_759	odčítat-001
odčítávat	v-w11688_ZUf1_ZU	odčítávat-001
odřeknout	v-w2865f1	odřeknout-002
odřeknout	v-w2865f2	odřeknout-001
odřezávat	v-w2866f1	odřezávat-001
odřezávat	v-w2866f2	odřezávat-002
odříci	v-w12189_ZUf1_ZU	odříci-001
odříci si	v-w2867f1	odříci si-001
odříkat	v-w11812_ZUf1_ZU	odříkat-001
odříkat se	v-w2869f1	odříkat se-001
odříkávat	v-w2870f1	odříkávat-001
odřít	v-w12394_MMf1_MM	odřít-001
odříznout	v-w2871f1	odříznout-001
odříznout	v-w2871f2	odříznout-002
odříznout	v-w2871f3_ZU	odříznout-003
odškodnit	v-w2922f1	odškodnit-001
odškodňovat	v-w11146f2	odškodňovat-001
odškrtávat	v-w10926f2	odškrtávat-001
odšroubovat	v-w11836_ZUf1_ZU	odšroubovat-001
odštípnout	v-whsa_291hsa_292	odštípnout-001
odštěpit se	v-w2924f1	odštěpit se-001
odůvodnit	v-w2934f1	odůvodnit-001
odůvodňovat	v-w2935f1	odůvodňovat-001
ofotit	v-w10544f2	ofotit-001
ofotografovat	v-w12235_ZUf1_ZU	ofotografovat-001
ofouknout	v-w11735_ZUf1_ZU	ofouknout-001
ogrilovat	v-w11806_ZUf1_ZU	ogrilovat-001
ohlašovat	v-w2991f1	ohlašovat-001
ohlašovat	v-w2991f2	ohlašovat-002
ohledat	v-w2994f1	ohledat-001
ohlodat	v-w10839f2	ohlodat-001
ohluchnout	v-w3000f1	ohluchnout-001
ohlušit	v-whsb_419hsa_420	ohlušit-001
ohlásit	v-w2988f1	ohlásit-001
ohlásit	v-w2988f2	ohlásit-002
ohlásit	v-w2988f3	ohlásit-003
ohlásit se	v-w2989f1	ohlásit se-001
ohlásit se	v-w2989f2_ZU	ohlásit se-002
ohlédnout se	v-w2995f1	ohlédnout se-001
ohlídat	v-w2998f1	ohlídat-001
ohlížet se	v-w2999f1	ohlížet se-003
ohlížet se	v-w2999f3	ohlížet se-002
ohlížet se	v-w2999hsa_678	ohlížet se-001
ohlížet se	v-w2999f2	ohlížet se-001	substituted with v-w2999hsa_678
ohmatat	v-whsa_155hsa_156	ohmatat-001
ohmatávat	v-w10365f2	ohmatávat-001
ohnout	v-w11946_ZUf1_ZU	ohnout-001
ohnout se	v-w11419f1	ohnout se-001
ohnout se	v-w11419f3_ZU	ohnout se-002
ohnout se	v-w11419f2_ZU	ohnout se-002	substituted with v-w11419f3_ZU
ohnít	v-w11785_ZUf1_ZU	ohnít-001
ohodnocovat	v-w3003f1	ohodnocovat-001
ohodnotit	v-w3004f1	ohodnotit-001
ohodnotit	v-w3004f2	ohodnotit-003
ohodnotit	v-w3004f3_ZU	ohodnotit-002
oholit	v-w3005f1	oholit-002
oholit	v-w3005f2	oholit-001
ohořet	v-w3006f1	ohořet-001
ohradit	v-w3007f1	ohradit-001
ohradit se	v-w3008f1	ohradit se-001
ohraničit	v-w10166f2	ohraničit-001
ohraničovat	v-w10947f2	ohraničovat-001
ohrazovat	v-w3013f1	ohrazovat-001
ohrazovat se	v-w3014f1	ohrazovat se-001
ohrnout	v-w10719f2	ohrnout-002
ohrnout	v-w10719f3	ohrnout-001
ohrnovat	v-w10709f3	ohrnovat-001
ohromit	v-w3015f1	ohromit-001
ohromovat	v-w10380f2	ohromovat-001
ohrozit	v-w3016f1	ohrozit-001
ohrožovat	v-w3020f1	ohrožovat-001
ohrávat	v-w3011f1	ohrávat-001
ohánět se	v-w2986f1	ohánět se-001
ohánět se	v-w2986f2	ohánět se-002
ohýbat	v-w11466f1	ohýbat-001
ohýbat se	v-w3026f1	ohýbat se-001
ohřát	v-whsa_1443hsa_1444	ohřát-001
ohřát se	v-w3022f1	ohřát se-001
ohřívat	v-w10069f2	ohřívat-001
oklamat	v-w3048f1	oklamat-001
oklepat se	v-whsa_1971hsa_1972	oklepat se-001
oklepávat se	v-w11388f1	oklepávat se-001
oklestit	v-w11163f2	oklestit-001
oklešťovat	v-w3050f1	oklešťovat-001
okopat	v-whsa_1987hsa_1988	okopat-001
okopat	v-whsa_1987hsa_1989	okopat-002
okopávat	v-w3052f1	okopávat-001
okopávat	v-w3052f2	okopávat-002
okopírovat	v-w3054f1	okopírovat-001
okopírovat	v-w3054hsa_31	okopírovat-002
okoukat	v-w3056f1	okoukat-001
okoukat se	v-w3057f1	okoukat se-001
okouknout	v-w3058f1	okouknout-001
okouzlit	v-w3060f1	okouzlit-001
okouzlovat	v-w3061f1	okouzlovat-001
okořenit	v-w3055f1	okořenit-001
okrádat	v-w3063f1	okrádat-001
okrást	v-w3065f1	okrást-001
oktrojovat	v-w3066f1	oktrojovat-001
okukovat	v-w11915_ZUf1_ZU	okukovat-001
okupovat	v-w3069f1	okupovat-001
okusit	v-w3070f1	okusit-001
okusit	v-w3070f2	okusit-002
okusovat	v-w12299_MMf1_MM	okusovat-001
okázat se	v-w3047f1	okázat se-001
olizovat	v-whsb_694hsa_695	olizovat-001
oloupat	v-w10113f2	oloupat-001
omakat si	v-w12008_ZUf1_ZU	omakat si-001
omalovat	v-w3073f1	omalovat-001
omarodit	v-whsb_655hsa_656	omarodit-001
omarodit	v-w12042_ZUf1_ZU	omarodit-002
omdlévat	v-w11955_ZUf1_ZU	omdlévat-001
omdlít	v-w3074f1	omdlít-001
omezit	v-w3076f1	omezit-001
omezit	v-w3076hsa_241	omezit-002
omezit se	v-w3077f1	omezit se-001
omezit se	v-w3077f2	omezit se-002
omezovat	v-w3080f1	omezovat-001
omezovat	v-w3080hsa_633	omezovat-002
omezovat se	v-w3081f1	omezovat se-001
omezovat se	v-w3081hsa_651	omezovat se-002
omilostnit	v-w3084f1	omilostnit-001
omladit	v-w3085f1	omladit-001
omlouvat	v-w3088f1	omlouvat-001
omlouvat	v-w3088f2	omlouvat-002
omlouvat se	v-whsb_683hsa_684	omlouvat se-001
omluvit	v-w3090f1	omluvit-001
omluvit	v-w3090f2	omluvit-002
omládnout	v-whsa_579hsa_580	omládnout-001
omlátit	v-w3086f1	omlátit-002
omlátit	v-w3086f2	omlátit-001
omrzet	v-w12128_ZUf1_ZU	omrzet-001
omráčit	v-w3091f1	omráčit-001
omráčit	v-w3091f2	omráčit-002
omílat	v-w10806f2	omílat-001
omítnout	v-w11539_ZUf1_ZU	omítnout-001
omývat	v-w3093f1	omývat-001
onemocnět	v-w3095f1	onemocnět-001
onosit	v-w12159_ZUf1_ZU	onosit-001
opadat	v-w10092f2	opadat-001
opadat	v-w10092f3_ZU	opadat-002
opadnout	v-w3096f1	opadnout-001
opadnout	v-w3096f2_MM	opadnout-002
opadávat	v-whsa_694f1_ZU	opadávat-002
opadávat	v-whsa_694hsa_695	opadávat-001
opakovat	v-w3099f1	opakovat-001
opakovat	v-w3099f2	opakovat-002
opakovat	v-w3099f3	opakovat-003
opakovat se	v-w3100f1	opakovat se-001
opakovat se	v-w3100f2	opakovat se-002
opakovat si	v-w3101f1	opakovat si-001
opalovat	v-w11540_ZUf1_ZU	opalovat-001
opalovat se	v-w3103f1	opalovat se-001
opatrovat	v-w3109f1	opatrovat-001
opatrovat	v-w3109hsa_682	opatrovat-002
opatřit	v-w3113f1	opatřit-001
opatřit	v-w3113f3_ZU	opatřit-002
opatřit	v-w3113f2	opatřit-002	substituted with v-w3113f3_ZU
opatřit	v-w3113hsa_1247	opatřit-003
opatřovat	v-whsa_1558hsa_1559	opatřovat-001
opařit	v-w3104f1	opařit-002
opařit	v-w3104f2	opařit-001
opařit se	v-w3105f1	opařit se-001
opepřit	v-w11541_ZUf1_ZU	opepřit-001
operovat	v-w3117f1	operovat-001
operovat	v-w3117f2	operovat-003
operovat	v-w3117f5_ZU	operovat-002
